xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.0834064,-2.05535,6.21231,0.3,0.05,-0.0448762,-2.04669,6.21669
-0.0836978,-2.05551,6.21181,0.3,0.05,-0.0446926,-2.0482,6.2162
-0.0839973,-2.05593,6.21131,0.3,0.05,-0.0443987,-2.04895,6.21597
-0.0843056,-2.05657,6.21081,0.3,0.05,-0.0450086,-2.05043,6.21534
-0.08464,-2.05778,6.21031,0.3,0.05,-0.0447583,-2.0512,6.21539
-0.0849867,-2.05911,6.20981,0.3,0.05,-0.0456874,-2.05271,6.21464
-0.0853631,-2.06093,6.20931,0.3,0.05,-0.0469834,-2.05344,6.21376
-0.0857323,-2.06227,6.20881,0.3,0.05,-0.0480264,-2.05498,6.21263
-0.0860941,-2.06324,6.20831,0.3,0.05,-0.04833,-2.05572,6.21222
-0.0864356,-2.06364,6.20781,0.3,0.05,-0.0489682,-2.05732,6.21181
-0.0867781,-2.06408,6.20731,0.3,0.05,-0.0491836,-2.0581,6.21153
-0.0871134,-2.06437,6.2068,0.3,0.05,-0.0490381,-2.0597,6.21114
-0.0874696,-2.06519,6.2063,0.3,0.05,-0.0492054,-2.06047,6.21077
-0.0878092,-2.06556,6.2058,0.3,0.05,-0.0364051,-2.06305,6.21323
-0.0881727,-2.0665,6.2053,0.3,0.05,-0.050123,-2.06454,6.20957
-0.0889114,-2.06812,6.2043,0.3,0.05,-0.0526615,-2.06692,6.20758
-0.089643,-2.06937,6.2033,0.3,0.05,-0.0537364,-2.06942,6.20658
-0.0903829,-2.07071,6.2023,0.3,0.05,-0.0540177,-2.07028,6.2064
-0.0907145,-2.07088,6.2018,0.3,0.05,-0.0538971,-2.07196,6.20611
-0.0910534,-2.0713,6.20129,0.3,0.05,-0.0537377,-2.07283,6.20579
-0.0914029,-2.07198,6.20079,0.3,0.05,-0.0545855,-2.07452,6.20501
-0.0916888,-2.07125,6.20029,0.3,0.05,-0.0548047,-2.07537,6.20469
-0.0919432,-2.07011,6.19979,0.3,0.05,-0.0553052,-2.07713,6.20444
-0.0922336,-2.07011,6.19928,0.3,0.05,-0.0555757,-2.07799,6.20417
-0.0925437,-2.07051,6.19877,0.3,0.05,-0.0569696,-2.07971,6.20299
-0.0928559,-2.0713,6.19828,0.3,0.05,-0.0590637,-2.0823,6.20134
-0.0936536,-2.07428,6.19727,0.3,0.05,-0.0589219,-2.08503,6.20118
-0.0944665,-2.07685,6.19627,0.3,0.05,-0.060211,-2.0877,6.19997
-0.0953099,-2.07946,6.19527,0.3,0.05,-0.0610972,-2.09043,6.19931
-0.0962164,-2.08273,6.19426,0.3,0.05,-0.0621511,-2.0932,6.19829
-0.0971533,-2.08578,6.19326,0.3,0.05,-0.0483528,-2.09617,6.20047
-0.0976399,-2.08766,6.19274,0.3,0.05,-0.0653193,-2.09687,6.19602
-0.0980935,-2.08934,6.19226,0.3,0.05,-0.0653289,-2.09878,6.19607
-0.0990674,-2.09161,6.19125,0.3,0.05,-0.0656997,-2.09971,6.19567
-0.0995323,-2.09256,6.19074,0.3,0.05,-0.066429,-2.10161,6.19495
-0.0999994,-2.09387,6.19025,0.3,0.05,-0.0667829,-2.10256,6.19461
-0.100473,-2.09497,6.18974,0.3,0.05,-0.067498,-2.10449,6.19397
-0.100926,-2.09557,6.18924,0.3,0.05,-0.0678759,-2.10544,6.19398
-0.101407,-2.09674,6.18874,0.3,0.05,-0.068656,-2.10737,6.19323
-0.101907,-2.09819,6.18823,0.3,0.05,-0.042852,-2.11063,6.19878
-0.102398,-2.09928,6.18773,0.3,0.05,-0.0718217,-2.11121,6.19109
-0.102889,-2.10028,6.18723,0.3,0.05,-0.0718684,-2.11324,6.19114
-0.10398,-2.10279,6.18622,0.3,0.05,-0.0718787,-2.11419,6.1909
-0.104507,-2.10421,6.18572,0.3,0.05,-0.0735937,-2.11716,6.18967
-0.105074,-2.10607,6.18521,0.3,0.05,-0.0613219,-2.12037,6.19201
-0.106241,-2.10902,6.18421,0.3,0.05,-0.0758058,-2.12225,6.18824
-0.107447,-2.11189,6.18321,0.3,0.05,-0.0762384,-2.12319,6.18793
-0.108047,-2.11373,6.18271,0.3,0.05,-0.0786668,-2.1262,6.18638
-0.108647,-2.11533,6.1822,0.3,0.05,-0.0792179,-2.12928,6.18609
-0.109906,-2.11791,6.1812,0.3,0.05,-0.0802627,-2.13137,6.18524
-0.111246,-2.12123,6.18019,0.3,0.05,-0.0817557,-2.13446,6.18421
-0.112618,-2.12486,6.1792,0.3,0.05,-0.0822491,-2.13549,6.18388
-0.113326,-2.12722,6.17869,0.3,0.05,-0.0833058,-2.13762,6.18342
-0.114049,-2.12955,6.17819,0.3,0.05,-0.084851,-2.14078,6.18232
-0.115572,-2.13354,6.17718,0.3,0.05,-0.0867548,-2.14395,6.18111
-0.117105,-2.13729,6.17619,0.3,0.05,-0.0869013,-2.14502,6.18099
-0.117877,-2.13919,6.17568,0.3,0.05,-0.0885069,-2.14712,6.18014
